topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,host,social,visit,web,subscribe,tube,आतमहतय,drsurendrakc,pvt,pradeepdhami
1,strictly,video,pvt,web,host,tube,visit,site,social,oceannepal
2,follow,prior,oceannepal,tube,visit,web,drsurendrakc,site,host,social
3,twitter,subscribe,website,web,tube,visit,site,drsurendrakc,social,pradeepdhami
4,permission,embed,drsurendrakc,अग,pradeepdhami,tube,visit,web,site,social
5,site,pradeepdhami,embedding,website,visit,web,subscribe,tube,pvt,drsurendrakc
6,channel,prohibit,tube,आतमहतय,visit,drsurendrakc,subscribe,social,pradeepdhami,web
