topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,website,permission,drsurendrakc,oceannepal,tube,visit,web,site,social,pradeepdhami
1,channel,prohibit,video,social,embed,drsurendrakc,visit,web,subscribe,pvt
2,follow,site,oceannepal,pradeepdhami,web,host,tube,visit,pvt,social
3,prior,strictly,embedding,site,web,social,tube,visit,pradeepdhami,drsurendrakc
4,twitter,host,visit,अग,आतमहतय,social,pvt,subscribe,tube,oceannepal
5,web,subscribe,pvt,tube,host,visit,आतमहतय,drsurendrakc,social,pradeepdhami
