topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,strictly,video,channel,tube,visit,web,subscribe,drsurendrakc,social,pradeepdhami
1,website,prohibit,channel,आतमहतय,pradeepdhami,tube,web,social,pvt,oceannepal
2,prior,visit,oceannepal,drsurendrakc,tube,web,site,host,social,pvt
3,site,drsurendrakc,subscribe,tube,visit,web,आतमहतय,social,pradeepdhami,अग
4,social,embed,drsurendrakc,अग,oceannepal,tube,visit,web,site,pradeepdhami
5,host,subscribe,drsurendrakc,tube,visit,web,आतमहतय,social,pradeepdhami,अग
6,follow,web,drsurendrakc,oceannepal,tube,visit,site,host,social,pvt
7,twitter,pvt,embedding,web,host,tube,visit,site,social,pradeepdhami
8,permission,tube,drsurendrakc,oceannepal,visit,web,site,host,social,pvt
