topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,prior,prohibit,tube,visit,web,drsurendrakc,host,site,social,pradeepdhami
1,permission,tube,web,drsurendrakc,oceannepal,visit,site,host,social,pvt
2,site,oceannepal,web,subscribe,tube,visit,आतमहतय,drsurendrakc,social,pvt
3,video,social,pradeepdhami,embedding,visit,host,tube,site,web,oceannepal
4,drsurendrakc,host,subscribe,tube,visit,web,आतमहतय,social,pradeepdhami,अग
5,embed,pvt,अग,web,oceannepal,tube,visit,site,drsurendrakc,pradeepdhami
6,website,twitter,prohibit,host,visit,web,drsurendrakc,subscribe,social,pradeepdhami
7,host,subscribe,visit,oceannepal,web,tube,आतमहतय,drsurendrakc,social,pvt
8,follow,आतमहतय,drsurendrakc,subscribe,tube,visit,web,oceannepal,social,pradeepdhami
9,channel,strictly,subscribe,tube,visit,web,site,drsurendrakc,social,pradeepdhami
