topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,storm,event,day,watch,mystery,moon,scientist,head,ground,unusual
1,sky,quake,major,man,fall,super,spot,strong,fire,ice
2,sky,light,mysterious,warn,show,turn,cosmic,make,surface,video
3,earthquake,rare,sep,close,world,form,climate,global,power,state
4,massive,happen,mar,object,eruption,time,sun,soar,location,bizarre
5,strange,earth,people,flood,update,land,wind,change,space,top
6,solar,huge,planet,cloud,water,large,year,high,strike,set
7,record,weather,dark,start,begin,sign,car,report,observation,city
8,news,big,hurricane,ancient,thing,move,night,cat,evacuation,break
9,break,phenomenon,news,mile,magnetic,reveal,erupt,hail,wave,rise
