topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,news,follow,subscribe,late,break,twitter,story,visit,world,website
1,video,show,live,day,support,report,watch,young,talk,member
2,time,make,people,work,share,give,report,bring,money,government
3,police,fire,year,man,woman,area,call,school,family,morning
