topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,day,show,year,young,member,police,host,man,call,woman
1,video,support,make,talk,report,people,discuss,free,work,medium
2,news,follow,subscribe,twitter,late,break,time,story,visit,watch
