topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,globalpunjabtv,global,tv,com,follow,live,punjab,stream,twitter,watch
1,twitter,tv,global,com,follow,globalpunjabtv,live,punjab,stream,watch
2,live,global,tv,com,follow,globalpunjabtv,punjab,stream,twitter,watch
3,tv,www,global,com,follow,globalpunjabtv,live,punjab,stream,twitter
4,watch,global,tv,com,follow,globalpunjabtv,live,punjab,stream,twitter
5,stream,global,tv,com,follow,globalpunjabtv,live,punjab,twitter,watch
6,punjab,global,tv,com,follow,globalpunjabtv,live,stream,twitter,watch
7,follow,global,tv,com,globalpunjabtv,live,punjab,stream,twitter,watch
8,globalpunjabtv,global,tv,com,follow,live,punjab,stream,twitter,watch
9,global,tv,com,follow,globalpunjabtv,live,punjab,stream,twitter,watch
