topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,follow,twitter,video,check,facebook,story,subscribe,source,music,youtube
1,time,year,find,make,break,world,give,subscribe,news,read
2,news,watch,full,live,episode,late,make,show,subscribe,network
3,include,today,people,explain,connect,end,produce,play,trailer,miss
4,woman,family,child,year_old,local_listing,death,mother,life,student,school
5,country,government,state,big,pay,company,city,reason,leader,law
6,support,show,video,follow,political,talk,podcast,speak,day,free
7,car,home,back,dog,inside_edition,hit,leave,head,happen,start
8,trump,people,call,work,visit,story,make,black,bring,thing
9,police,man,officer,shoot,video,kill,call,charge,arrest,release
