topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,news,watch,show,live,full,episode,late,good,network,report
1,family,child,home,year_old,mother,inside_edition,leave,daughter,life,girl
2,follow,video,twitter,check,facebook,subscribe,story,youtube,website,source
3,support,people,include,today,free,show,day,link,work,explain
4,time,make,year,find,world,break,news,give,read,people
5,police,man,officer,kill,shoot,call,car,woman,death,fire
6,country,trump,state,government,big,work,pay,company,public,city
