topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,time,year,make,video,find,break,give,people,world,read
1,news,watch,show,live,full,story,episode,late,make,network
2,follow,video,twitter,check,facebook,subscribe,youtube,website,channel,share
3,family,child,woman,home,year_old,mother,life,school,student,die
4,police,man,officer,kill,shoot,car,call,charge,arrest,fire
5,support,work,big,order,member,group,long,company,send,call
6,trump,political,speak,state,talk,podcast,week,government,issue,book
7,people,include,today,support,show,explain,connect,end,black,produce
