topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,video,arrest,man,cop,support,voter,ad,destroy,murder,war
1,black,give,expose,speech,threaten,year,cortez,prison,word,huge
2,trump,border,impeachment,stop,vote,supporter,back,fail,parent,target
3,attack,fire,campaign,big,special,cry,crime,stock,official,catch
4,break,plan,debate,win,shoot,turn,show,strike,leader,bernie
5,racist,reveal,lie,student,beat,admit,family,respond,woman,corporate
6,kill,catch,medium,story,death,live,republican,worker,school,alt
7,people,trigger,president,host,ice,lose,full,reporter,threat,fight
8,trump,make,election,ban,fake,biden,terrorist,response,pass,crazy
9,call,police,child,gun,shooting,woman,bad,white,force,mass
