topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,trump,cop,support,shooting,threaten,bad,host,prison,full,catch
1,people,woman,police,video,speech,medium,president,story,release,murder
2,black,arrest,give,gun,election,year,death,beat,stop,white
3,trump,call,trigger,break,shoot,impeachment,student,family,rally,supporter
4,make,plan,kill,campaign,debate,expose,reveal,ban,comment,fight
5,fire,man,lose,big,lie,power,strike,reporter,bernie,crime
6,attack,racist,child,voter,ice,leak,mass,live,show,catch
