topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,trump,campaign,vote,break,election,sander,year,democratic,make,hour
1,young,host,read,turk,today,download,version,break,comment,call
2,show,donate,support,news,subscribe,member,twitter,day,online,discuss
3,show,young,news,support,people,live,political,turk,member,revolution
4,woman,man,police,read,officer,kill,black,child,student,shoot
5,report,follow,video,live,watch,news,youtube,facebook,free,podcast
6,support,follow,twitter,video,story,subscribe,free,discuss,medium,website
7,group,government,include,official,read,country,order,leader,week,today
8,time,people,year,read,law,find,pay,company,make,plan
9,young,host,show,member,turk,continue,membership,hour,demand,vital
