topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,medium,advise,store,order,event,book,network,host,purchase,facebook
1,day,watch,podcast,call,black,make,white,speak,community,daily
2,people,time,news,year,give,report,live,state,find,world
3,content,news,fair,african,email,make,channel,tip,video,section
4,subscribe,page,donate,free,video,check,woman,also_feel,situation,opinion
5,support,visit,donation,medium,website,paypal,merchandise,video,social,catch
6,show,follow,weekly,twitter,join,video,website,ratchet,monthly,radio
7,donation,lovelyti,join,patreon,twitter,link,merchandise,social,visit,website
8,police,man,officer,charge,student,woman,arrest,accord,shoot,school
9,black,text,website,video,link,child,follow,personal,word,business
