topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,trump,border,deal,wall,law,defend,good,policy,bill,work
1,call,state,protester,claim,migrant,crisis,family,race,child,supporter
2,trump,talk,hold,campaign,plan,time,end,rally,stop,question
3,trump,people,protest,show,warn,president,live,watch,military,support
4,medium,black,man,react,immigration,liberal,reaction,news,ban,conservative
5,trump,report,dem,gun,lie,respond,back,fight,mueller,comment
6,speak,police,woman,shoot,arrest,kill,release,student,charge,video
7,break,attack,leave,election,give,day,urgent,win,official,lose
8,speech,full,big,hit,war,year,interview,probe,run,reveal
9,make,debate,fire,time,vote,face,impeachment,democratic,presidential,kavanaugh
