topic_id,term0,term1,term2,term3
0,एकरल,परण,कट,interview
1,परण,एकरल,कट,interview
2,परण,एकरल,कट,interview
3,कट,परण,एकरल,interview
4,interview,परण,एकरल,कट
5,परण,एकरल,कट,interview
6,परण,एकरल,कट,interview
7,परण,एकरल,कट,interview
