topic_id,term0,term1,term2,term3
0,interview,परण,एकरल,कट
1,परण,एकरल,कट,interview
2,कट,परण,एकरल,interview
3,एकरल,परण,कट,interview
4,परण,एकरल,कट,interview
5,परण,एकरल,कट,interview
