topic_id,term0,term1,term2,term3
0,interview,परण,एकरल,कट
1,परण,एकरल,कट,interview
2,परण,एकरल,कट,interview
3,परण,एकरल,कट,interview
4,कट,परण,एकरल,interview
5,एकरल,परण,कट,interview
6,परण,एकरल,कट,interview
