topic_id,term0,term1,term2,term3
0,कट,परण,एकरल,interview
1,परण,एकरल,कट,interview
2,परण,एकरल,कट,interview
3,परण,एकरल,कट,interview
4,परण,एकरल,कट,interview
5,परण,एकरल,कट,interview
6,परण,एकरल,कट,interview
7,interview,परण,एकरल,कट
8,एकरल,परण,कट,interview
