topic_id,term0,term1,term2,term3
0,परण,एकरल,कट,interview
1,परण,एकरल,कट,interview
2,interview,परण,एकरल,कट
3,परण,एकरल,कट,interview
4,परण,एकरल,कट,interview
5,परण,एकरल,कट,interview
6,परण,एकरल,कट,interview
7,एकरल,परण,कट,interview
8,कट,परण,एकरल,interview
9,परण,एकरल,कट,interview
