topic_id,term0,term1
0,ਗਰਘਰ,video
1,video,ਗਰਘਰ
2,video,ਗਰਘਰ
3,video,ਗਰਘਰ
4,video,ਗਰਘਰ
5,video,ਗਰਘਰ
6,video,ਗਰਘਰ
7,video,ਗਰਘਰ
8,video,ਗਰਘਰ
