topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,call,back,release,wall,allege,shutdown,security,grow,bill,top
1,kill,officer,shooting,report,face,find,guilty,fight,testimony,presidential
2,police,accuse,speak,react,record,continue,protest,question,public,viral
3,trump,time,shoot,arrest,claim,die,investigation,mueller,fear,stand
4,trump,woman,race,president,people,vote,sentence,point,debate,speech
5,attack,day,live,midterm,comment,teen,campaign,impeachment,give,respond
6,student,suspect,show,hold,school,man,address,recession,fall,fact
7,border,charge,murder,death,dead,allegedly,deal,case,leader,enter
8,fire,make,year,change,abortion,rally,shoot,american,child,mom
9,official,video,announce,run,state,open,college,miss,break,car
