topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,time,shoot,make,arrest,dead,face,claim,guilty,back,allegedly
1,kill,border,officer,official,speak,announce,teen,family,wall,case
2,charge,race,call,report,year,react,change,record,leader,give
3,trump,police,attack,suspect,video,hold,midterm,address,state,security
4,woman,student,investigation,show,murder,death,man,allege,testimony,college
5,fire,shooting,accuse,school,live,deal,day,abortion,president,campaign
