topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,lead,presidential,call,subscriber,big,house,bernie,energy,drop,double
1,election,race,analysis,back,pathway,hate,run,big,stand,promise
2,election,dem,trump,discussion,win,approval,walk,datum,actual,tape
3,poll,update,talk,start,easy,medium,early,green,criminal,gubernatorial
4,prediction,state,analyze,datum,news,debate,show,group,nationally,underestimate
5,base,analyze,map,special,rating,governor,vote,coverage,surge,political
6,election,electoral,result,map,ca,black,girl,turnout,flip,give
7,sander,democratic,nationwide,midterm,landslide,prediction,progressive,establishment,job,people
8,night,primary,wave,good,full,republican,panther,scenario,analysis,announce
