topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,primary,democratic,electoral,base,approval,expect,night,presidential,leadership,focus
1,prediction,analysis,map,vote,debate,charge,run,retain,show,easy
2,sander,race,base,top,special,job,bernie,girl,early,border
3,result,analyze,discussion,big,house,decide,drop,wave,surge,establishment
4,lead,presidential,election,good,progressive,subscriber,turnout,black,place,speech
5,poll,trump,datum,midterm,rating,special,news,demographic,today,panther
6,lead,state,nationwide,talk,full,call,walk,political,stand,back
7,election,dem,win,scenario,year,medium,hate,implication,federal,advertiser
8,night,election,dem,coverage,red,republican,announce,analyze,pathway,school
9,election,governor,update,landslide,green,history,polling,wildlife,warn,wave
