topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,prediction,sander,primary,democratic,datum,big,trump,panther,implication,bernie
1,electoral,base,trump,presidential,map,primary,governor,midterm,debate,surge
2,poll,analyze,special,nationwide,win,political,decide,top,drop,walk
3,election,state,race,approval,rating,year,red,progressive,start,polling
4,lead,night,dem,analysis,discussion,sander,vote,wave,call,scenario
5,election,result,update,landslide,good,coverage,subscriber,talk,energy,black
