topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,news,live,make,subscribe,year,work,find,watch,plan,full
1,young,show,host,member,rebel,audio,vital,large,operation,download
2,support,news,people,campaign,democratic,country,comment,president,night,candidate
3,political,time,video,state,follow,call,report,vote,today,long
4,young,show,member,host,download,large,read,day,cast,trump
5,membership,donate,senior,executive,postgame,producer,member,host,show,full
6,young,turk,member,follow,day,twitter,progressive,subscribe,support,growth
7,young,host,show,member,online,political,party,membership,audio,person
8,trump,read,break,include,call,attack,back,fire,people,leader
9,show,video,news,online,live,police,person,woman,leave,man
