topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,support,party,state,campaign,president,democratic,make,night,plan,vote
1,support,call,read,make,year,comment,attack,group,country,long
2,young,host,member,show,demand,audio,progressive,operation,news,download
3,membership,show,donate,executive,senior,postgame,producer,member,host,subscribe
4,young,turk,trump,show,member,day,twitter,growth,facebook,buy
5,show,people,news,political,support,include,live,read,government,join
6,news,live,follow,time,video,subscribe,watch,political,free,issue
7,young,member,show,host,operation,membership,large,download,person,progressive
8,break,video,read,accord,official,report,police,day,leave,man
