topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,time,leave,people,call,year,make,election,comment,give,good
1,twitter,support,mind,facebook,merch,opinion,documentary,nj,follow,lavalier_mic
2,report,follow,show,news,political,video,watch,live,podcast,free
3,listen,support,work,patreon,podcast,find,trump,demand,stitcher,itune
4,medium,subscribe,website,make,social,copyright,video,woman,news,section
5,work,gab,platform,bitchute,donation,dailymotion,litecoin,dqgpepx,lqnjed,jgep
