topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,trump,make,story,video,show,music,channel,twitter,election,comment
1,leave,black,day,people,reason,government,gun,point,back,today
2,work,litecoin,donation,bitchute,dqgpepx,lqnjed,gab,jgep,dailymotion,platform
3,website,time,question,page,woman,subscribe,firm,give,good,man
4,facebook,twitter,follow,mind,opinion,documentary,nj,support,battery_tascam,lavalier_mic
5,listen,support,work,podcast,patreon,find,demand,stitcher,free,itune
6,report,follow,news,political,live,speech,podcast,free,watch,show
7,medium,video,news,social,copyright,show,subscribe,full,make,section
8,merch,donate,twitter,gab,platform,mind,support,bitchute,facebook,donation
