topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,merch,twitter,support,mind,facebook,donate,platform,dailymotion,donation,bitchute
1,year,firm,reason,government,vote,point,social,country,back,start
2,work,gab,mind,bitchute,dqgpepx,jgep,lqnjed,donation,litecoin,support
3,listen,support,podcast,patreon,find,demand,stitcher,itune,free,download
4,follow,people,twitter,opinion,facebook,documentary,nj,lavalier_mic,battery_tascam,call
5,video,website,time,trump,subscribe,full,watch,share,content,patreon
6,report,follow,news,political,live,podcast,speech,free,mind,show
7,medium,make,show,news,video,copyright,twitter,social,music,section
