topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,news,show,make,video,copyright,full,subscribe,watch,section,purpose
1,medium,time,trump,video,subscribe,website,link,music,world,share
2,follow,opinion,facebook,documentary,nj,lavalier_mic,battery_tascam,people,call,channel_newsroom
3,facebook,merch,donate,twitter,platform,bitchute,gab,pewtube,donation,dailymotion
4,work,donation,jgep,litecoin,platform,dqgpepx,bitchute,dailymotion,lqnjed,literary
5,election,year,day,good,reason,government,vote,leave,point,visit
6,support,work,mind,twitter,gab,patreon,merch,dem,propaganda,ago
7,listen,podcast,find,demand,stitcher,itune,free,download,email,patreon
8,report,political,follow,news,speech,free,podcast,rubin,youtube,idea
9,website,man,social,woman,people,black,firm,student,gun,police
