topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,trump,make,campaign,back,supporter,day,work,good,release,reporter
1,attack,face,destroy,arrest,cortez,trump,police,question,racist,lie
2,trump,lose,woman,defend,immigrant,lawyer,family,turn,border,warn
3,debate,time,election,voter,big,deal,reveal,win,dem,fail
4,call,lie,give,year,expose,pay,report,tax,catch,speak
5,show,bad,host,interview,medium,explain,talk,fight,democratic,blame
6,trump,break,claim,republican,vote,support,money,impeachment,law,tweet
7,sander,people,black,video,stop,kill,plan,shoot,nowthis,bernie
8,fire,ring,admit,man,state,crime,live,watch,war,bill
9,trump,call,news,run,speech,end,fake,full,investigation,country
