topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,update,send,mrmbb,policy,social,stream,comment,support,share,paypal
1,earthquake,suspicious,contest,link,music,neme,weather,alert,bserver,facebook
2,news,learn,www,channel,youtube,video,dahboo_uwn,event,people,report
3,update,email,policy,dedication,user,platform,subscriber,merchandise,discretion,friendly
4,user,financial,send,follow,safe,paypal,inappropriate,share,remove,loyal
5,support,follow,share,website,time,official,click,watch,directly,send
