topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,email,policy,donate,follow,watch,greatly,send,subscribe,forget,social
1,support,email,paypal,time,moderator,update,user,official,financial,loyal
2,event,people,world,day,water,word,call,area,large,continue
3,financial,daily,support,email,content,safe,block,platform,time,discretion
4,news,learn,www,channel,youtube,dahboo_uwn,report,year,dlive,accord
5,website,support,click,weather,earth,video,storm,planet,strange,change
6,send,policy,share,patreon,remove,dedication,user,follow,mrmbb,comment
7,update,send,content,merchandise,user,follow,paypal,dedication,share,inappropriate
8,earthquake,suspicious,contest,link,music,neme,alert,bserver,facebook,twitter
9,support,share,website,stream,email,send,abuse,click,language,subscribe
