topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,financial,email,policy,update,user,send,live,directly,method,stream
1,earthquake,suspicious,contest,music,website,neme,alert,bserver,link,facebook
2,support,show,live,time,method,inappropriate,subscriber,policy,share,abuse
3,news,learn,channel,youtube,www,dahboo_uwn,people,year,make,report
4,send,share,support,financial,user,language,visitor,paypal,forget,daily
5,weather,link,earth,video,world,event,www,storm,full,planet
6,send,user,email,update,share,visitor,mrmbb,comment,paypal,click
7,support,follow,email,watch,website,policy,content,daily,official,show
