topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,election,win,midterm,prediction,race,poll,lose,seat,projection,map
1,subscribe,playlist,shoutout,request,analyze,tremendous,hope,comment,box,predict
2,election,night,email,subscribe,single,analysis,talk,subscription,block,videos
3,video,ability,playlist,amount,subscription,content,upload,leave,share,love
4,subscribe,time,social,everytime,rate,ignore,video,box,videos,prediction
5,news,young,show,follow,full,turk,live,host,twitter,year
6,playlist,government,join,politic,mock,medium,talk,click,block,leave
7,win,prediction,lose,midterm,poll,tag,race,retain,governor,house
8,video,comment,patreon,watch,suggestion,snapchat,forget,channel,enjoy,barely
9,election,email,business,enable,official,predict,upload,miss,content,tremendous
