topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,news,twitter,young,watch,show,follow,subscribe,time,full,turk
1,election,prediction,video,subscribe,analyze,channel,playlist,click,block,business
2,night,social,content,ability,amount,email,subscribe,playlist,analysis,suggestion
3,win,midterm,prediction,lose,election,poll,race,governor,map,seat
4,election,comment,miss,love,everytime,videos,request,join,politic,mock
5,video,subscribe,playlist,patreon,watch,upload,single,time,snapchat,forget
