topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,election,lie,racist,debate,continue,defend,black,problem,liberal,interview
1,bad,man,time,make,claim,video,fire,real,border,plan
2,attack,ban,end,good,corporate,speech,show,news,win,violence
3,medium,report,white,stop,fail,reaction,political,campaign,crime,censor
4,leave,vote,police,leftist,war,deal,live,big,talk,begin
5,call,people,woman,declare,conservative,government,hate,state,protest,die
6,trump,beta,beauty,case,gun,lose,censorship,thought,destroy,due
