topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,medium,attack,lie,ban,corporate,dem,activist,russian,race,social
1,report,liberal,speech,support,border,plan,refuse,law,release,fall
2,end,debate,vote,claim,win,protest,news,rise,state,democratic
3,stop,white,police,student,immigration,crime,destroy,black,election,death
4,trump,good,die,violence,campaign,talk,big,power,resign,outrage
5,bad,case,government,video,show,fire,war,back,finally,begin
6,beta,beauty,man,conservative,defend,political,leftist,run,day,year
7,make,gun,lose,declare,problem,real,anti,shoot,blame,child
8,trump,time,interview,continue,college,election,speak,deal,arrest,collapse
9,call,people,woman,leave,racist,fail,live,kill,due,threaten
