topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,trump,debate,election,vote,show,break,win,conservative,time,big
1,police,arrest,bad,speech,year,pay,give,child,interview,lie
2,woman,man,kill,shoot,cop,catch,fight,gun,back,teen
3,trump,make,attack,report,bernie_sander,supporter,campaign,sex,lose,anti
4,video,black,people,fire,call,racist,student,explain,stop,plan
