topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,trump,attack,election,win,stop,year,plan,protest,leave,white
1,woman,video,man,kill,police,shoot,arrest,sex,child,support
2,debate,break,gun,time,supporter,democratic,life,law,good,watch
3,trump,fire,lie,campaign,speech,give,interview,ring,full,kid
4,bad,racist,medium,catch,back,anti,hate,gay,day,face
5,black,call,cop,vote,show,student,fight,teen,rape,find
6,report,bernie_sander,explain,lose,blame,war,destroy,expose,drug,world
7,people,make,conservative,big,money,pay,real,ban,girl,fail
