topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,bad,lie,time,speech,year,pay,interview,plan,full,republican
1,trump,fire,election,student,campaign,ring,voter,vote,government,russian
2,show,catch,lose,democratic,kid,real,find,support,talk,refuse
3,attack,bernie_sander,fight,back,war,state,blame,run,death,love
4,video,man,black,kill,police,shoot,cop,arrest,gun,teen
5,woman,stop,anti,protest,candidate,murder,gay,charge,jail,drug
6,debate,report,sex,medium,law,presidential,question,fake,happen,sue
7,trump,supporter,big,ban,money,life,work,expose,study,wrong
8,call,break,win,explain,racist,leave,dead,family,terrorist,turn
9,people,make,give,child,rape,hate,white,progressive,story,victim
