topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,man,arrest,sex,catch,wife,lose,reveal,break,world,win
1,find,sue,eat,leave,live,cop,guy,dead,homeless,body
2,woman,dog,husband,mother,time,food,free,restaurant,turn,death
3,ft,student,parent,steal,save,kid,life,bad,car,photo
4,davidsocomedy,people,make,fire,school,give,son,day,sell,home
5,davidsocomedy,man,couple,chinese,pay,date,offer,accidentally,prison,discover
6,year_old,baby,boy,die,child,fake,charge,work,female,fight
7,girl,mom,daughter,boyfriend,friend,face,thing,shoot,create,send
8,woman,teen,kill,year,police,good,jail,force,find,show
