topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,woman,davidsocomedy,sex,die,police,accidentally,doctor,run,passenger,remove
1,man,find,leave,bad,cop,date,face,stop,restaurant,refuse
2,man,catch,parent,baby,sue,fake,wife,child,pay,work
3,davidsocomedy,student,fire,kid,dog,school,teacher,food,show,college
4,woman,year_old,steal,life,son,dead,free,charge,shoot,turn
5,kill,give,eat,chinese,lose,mother,good,thing,body,family
6,people,year,couple,live,guy,time,jail,homeless,sell,day
7,davidsocomedy,teen,arrest,ft,boyfriend,offer,girlfriend,build,open,watch
8,girl,boy,save,car,death,force,claim,beat,murder,fall
9,make,mom,daughter,friend,photo,man,buy,sourcefe,ban,love
