topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,fire,back,progressive,crisis,show,face,money,pay,ring,russiagate
1,police,corporate,interview,shoot,official,question,full,bill,speech,voter
2,reveal,report,defend,people,saudi,nuclear,expose,give,economic,smear
3,trump,deal,kill,protest,threaten,admit,lead,part,real,dangerous
4,debate,election,lose,vote,democratic,watch,push,drop,venezuelan,power
5,sanction,world,campaign,run,economy,chinese,year,plan,fail,dem
6,war,break,medium,arrest,military,talk,trade,threat,stop,end
7,attack,oil,israeli,russian,bernie_sander,live,protester,warn,blame,send
8,call,make,strike,lie,global,government,turn,move,bomb,happen
9,big,support,time,explain,journalist,activist,border,political,rise,fight
