topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,part,resident,public,pay,partner,build,life,monthly,money,movement
1,watch,achievement,page,free,write,pal,payment,update,donate,এব
2,people,work,twitter,recur,inform,educate,feel,achievement,video,medium
3,follow,focus,facebook,promotional,management,regularly,page,paypal,medium,video
4,visit,facebook,time,connected,writing,inquiry,donate,social,people,focus
5,follow,personally,persuade,produce,change,entertain,talk,website,personal,tube
