topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,twitter,management,write,medium,time,donate,paypal,focus,part,persuade
1,free,build,mail,educate,video,talk,promotional,public,social,resident
2,facebook,movement,change,page,entertain,talk,paypal,life,resident,feel
3,partner,inform,monthly,writing,payment,inquiry,money,connected,এব,video
4,follow,achievement,personally,life,feel,politic,কথ,পছনদ,truth,today
5,facebook,page,website,visit,produce,connected,promotional,feel,today,pal
6,watch,work,update,persuade,regularly,social,entertain,produce,resident,ধযম
7,focus,visit,follow,pay,personal,part,public,recur,achievement,পরথমব
8,people,donate,tube,pal,recur,money,regularly,personal,video,educate
