topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,twitter,news,subscribe,watch,follow,call,facebook,visit,network,late
1,country,year,large,big,high,company,business,number,work,economy
2,people,news,time,find,year,state,make,woman,give,law
3,video,show,follow,support,political,full,day,talk,live,thing
4,world,follow,subscribe,week,story,leader,news,conflict,bring,learn
5,police,kill,report,attack,protest,public,student,official,drug,school
6,vice,news,check,facebook,follow,network,twitter,watch,read,government
