topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,world,follow,subscribe,story,week,leader,news,conflict,bring,learn
1,people,news,make,time,find,year,live,work,woman,give
2,subscribe,twitter,call,visit,time,late,download,website,share,discuss
3,news,vice,facebook,check,follow,network,twitter,watch,read,leave
4,state,law,include,report,face,case,public,happen,policy,start
5,follow,video,political,show,support,trump,election,talk,today,full
6,country,year,large,high,city,power,economy,bad,grow,decade
7,government,police,group,military,kill,attack,protest,part,hold,force
