topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,world,subscribe,follow,leader,week,story,conflict,bring,learn,international
1,time,video,people,show,news,subscribe,make,break,give,support
2,police,woman,law,man,case,drug,death,crime,shoot,officer
3,government,military,force,war,fight,attack,watch,group,kill,beta
4,subscribe,twitter,watch,follow,visit,call,time,late,download,website
5,state,trump,election,vote,campaign,president,run,call,party,rule
6,year,make,big,work,company,business,system,economy,chinese,large
7,people,city,day,leave,border,child,family,life,home,migrant
8,news,vice,facebook,follow,check,twitter,network,watch,read,student
9,country,report,year,power,history,today,government,nation,decade,global
