topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,police,shoot,kill,child,racist,officer,time,car,post,year_old
1,black,people,mother,show,baby,mom,case,gun,job,lose
2,teen,charge,trump,find,give,stop,leave,lie,call,twitter
3,arrest,student,video,teacher,school,viral,threaten,reveal,suspend,wear
4,black,man,call,cop,attack,home,family,beat,assault,jail
5,woman,black,white,make,live,face,community,comment,hair,fan
6,speak,year,african,respond,prison,grapevine,pregnant,day,sentence,shooting
7,fire,girl,accuse,catch,daughter,death,claim,break,murder,defend
