topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,teen,charge,trump,find,death,face,beat,victim,back,threat
1,student,fire,live,african,teacher,school,gun,suspend,reparation,wear
2,video,child,girl,accuse,show,stop,viral,reveal,open,support
3,black,year,leave,prison,sentence,threaten,female,refuse,interview,dead
4,black,man,people,white,grapevine,community,beyonce,young,cry,scandal
5,call,police,shoot,kill,cop,officer,home,murder,car,year_old
6,black,family,catch,break,give,time,kid,employee,jail,case
7,speak,attack,lie,respond,twitter,pay,pregnant,lose,apologize,part
8,racist,daughter,woman,mother,baby,mom,defend,put,blast,shooting
9,woman,arrest,make,assault,post,day,boy,son,steal,expose
