topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,bangladesh,money,saudi,নতজ,drkamal,nirbachon,আক,সমতল,chowdhury,journalist
1,vote,adda,chief,reload,chowdhury,journalist,debate,সমতল,রব,আক
2,debate,সমতল,ষযত,part,setu,indian,chowdhury,journalist,nirbachon,reload
3,shahe,অভযনতর,reload,saudi,journalist,chowdhury,সমতল,debate,আক,রব
4,shahed,এব,nirbachon,পরবত,math,news,chowdhury,journalist,ষযত,সমতল
5,vote,news,reload,leader,ষডযনতর,shahedalamlive,crisis,journalist,ষযত,আক
6,live,justice,global,দশযম,chowdhury,journalist,reload,ষযত,debate,আক
7,election,ban,রফ,politic,আক,talk,saudi,journalist,nirbachon,reload
8,bangladesh,ershad,journalist,roast,নরলহক,ষযত,saudi,chowdhury,reload,nirbachon
9,bangla,politic,talk,postmortem,রব,তরক,journalist,সমতল,ষযত,saudi
