topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,fair,news,watch,section,purpose,reporting,research,scholarship,personal,teach
1,tip,profit,permit,make,comment,teaching,collection,research,reporting,section
2,copyright,statute,reporting,balance,scholarship,section,profit,purpose,watch,research
3,educational,infringe,personal,share,allowance,criticism,section,reporting,scholarship,purpose
4,research,purpose,disclaimer,teach,favor,watch,scholarship,statute,reporting,personal
