topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,news,follow,make,call,day,subscribe,live,story,watch,late
1,support,report,follow,free,member,donate,video,majority,podcast,show
2,republican,state,election,vote,democratic,damage,run,campaign,year,party
3,fire,ring,subscribe,story,video,support,patreon,link,matter,share
4,time,break,woman,find,video,child,nee,kill,stay,tweet
5,trump,investigation,law,case,question,claim,official,campaign,week,charge
6,follow,twitter,medium,facebook,today,democracy,join,watch,politic,online
7,young,show,member,day,host,turk,political,full,progressive,audio
8,money,people,year,pay,country,government,work,make,give,company
9,people,thing,trump,country,talk,president,fact,make,lie,point
