topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,country,world,time,episode,explain,gun,city,die,call,chinese
1,woman,big,full,debate,terrorist,live,good,presidential,candidate,campaign
2,attack,make,people,black,man,speak,border,shoot,death,bad
3,war,dispatch,leave,rise,break,russian,end,force,violence,political
4,trump,news,trailer,military,vice,year,tonight,leader,speech,newshour_debate
5,powerful,protest,crisis,stop,migrant,law,interview,happen,vote,run
6,police,fight,kill,student,part,history,family,face,fail,watch
7,election,life,fire,work,dispatch,government,school,protester,child,talk
