topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,police,woman,kill,day,people,shoot,country,accuse,charge,officer
1,follow,news,face,nation,subscribe,twitter,late,discuss,youtube,local
2,time,read,late,world,year,make,report,give,people,break
3,watch,full,episode,tonight,world,allegedly,morning,arrest,lawyer,prosecutor
4,news,live,device,network,anchor,show,deliver,good,newsletter,season
5,news,trump,story,video,report,political,find,politic,accord,hour
6,call,speak,official,president,release,claim,support,run,presidential,member
7,join,week,correspondent,state,reporter,election,democratic,campaign,candidate,law
