topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,follow,news,face,nation,late,subscribe,twitter,local,history,discuss
1,news,report,year,political,woman,hour,accord,night,country,business
2,police,people,kill,shoot,accuse,officer,charge,allegedly,arrest,work
3,news,live,device,network,anchor,good,season,original_reporte,deliver,stream
4,trump,video,news,story,live,politic,deliver,find,tweet,break
5,time,read,world,late,make,show,give,year,break,insight
6,day,call,claim,candidate,support,make,presidential,member,happen,visit
7,week,state,election,democratic,law,interview,include,run,government,race
8,watch,full,episode,tonight,world,america_homepage,visit_good,impeachment,statement,plane
9,join,correspondent,youtube,speak,official,president,discuss,reporter,release,campaign
