topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,watch,full,episode,tonight,world,accuse,arrest,morning,lawyer,guilty
1,news,follow,face,nation,subscribe,late,twitter,join,discuss,youtube
2,time,people,read,world,late,report,year,give,find,break
3,news,political,report,week,story,state,election,democratic,accord,hour
4,trump,video,woman,day,politic,tweet,border,country,story,stay
5,police,call,correspondent,speak,kill,official,shoot,release,claim,officer
6,news,live,device,network,anchor,show,deliver,make,good,newsletter
