topic_id,term0,term1,term2,term3,term4
0,уровень,между,считают,что,на
1,между,считают,что,на,уровень
2,между,считают,что,на,уровень
3,между,считают,что,на,уровень
4,на,между,считают,что,уровень
5,что,между,считают,на,уровень
6,считают,между,что,на,уровень
7,между,считают,что,на,уровень
8,между,считают,что,на,уровень
