topic_id,term0,term1,term2,term3,term4
0,между,считают,что,на,уровень
1,между,считают,что,на,уровень
2,считают,на,между,что,уровень
3,между,считают,что,на,уровень
4,что,между,считают,на,уровень
5,между,считают,что,на,уровень
6,уровень,между,считают,что,на
