topic_id,term0,term1,term2,term3,term4
0,что,между,считают,на,уровень
1,на,между,считают,что,уровень
2,считают,между,что,на,уровень
3,между,считают,что,на,уровень
4,между,считают,что,на,уровень
5,уровень,между,считают,что,на
6,между,считают,что,на,уровень
7,между,считают,что,на,уровень
